original_phrase,paraphrase,approach_name,semantic_similarity,bleu,bert_score,sacre_bleu,persona
Write code to make a calculator,"Could you create a set of instructions, something like a recipe, that a computer can follow to perform basic calculator functions, like addition, subtraction, multiplication, and division? Make it so a user could input numbers and select the operation they want to perform.",llms,0.5302579998970032,9.641193013181824e-232,0.9648848176002502,0.0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a calculator,"I'd like to see a computer program that mimics a handheld calculator. It should allow users to enter numbers, choose an operation (add, subtract, multiply, divide), and then display the result. Think of it as automating the process of using a real calculator.",llms,0.5808050036430359,8.844844403089351e-232,0.9648488759994507,0.0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a calculator,"Develop a simple computer application that acts like a calculator. It needs to take numerical input from the user, let them select an arithmetic operation from a menu (like +,-,*,/), and then show them the computed answer. The output should be clear and easy to read.",llms,0.5187517404556274,2.5667438380160566e-155,0.9659273028373718,0.0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a calculator,"Compose a sequence of instructions that will tell a computer how to behave like a calculator. The program should be able to handle simple arithmetic: taking two numbers as input, applying a chosen operation (addition, subtraction, multiplication, division), and displaying the output to the user.",llms,0.5933541059494019,2.6592760182644606e-155,0.966733992099762,0.0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a calculator,"Can you write a computer program that simulates a basic calculator? The program should allow a user to enter two numbers, select an operation (like addition, subtraction, multiplication, or division), and then present the result of that calculation to the user in a clear format. Error handling for things like division by zero would be a nice touch.",llms,0.5364471673965454,8.972141065609098e-232,0.9646875262260437,0.0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a calculator,"Develop a software program that emulates the functionality of a standard four-function calculator, capable of performing addition, subtraction, multiplication, and division operations on numerical inputs. The program should accept user input, process calculations, and display the results in a clear and understandable format.",llms,0.3162836730480194,8.107244643554327e-232,0.961639940738678,0.0,"Emmet, a fellow in Astrophysics at Selwyn College, Cambridge. He holds a bachelor's and master's degree in Physics from Imperial College London and a PhD in Astrophysics from the University of Cambridge. Emmet is a radio astronomer whose research investigates the origin and evolution of large-scale cosmic magnetic fields. He has many years of experience through his studies and research using Python, C, Fortran and Matlab for data analysis and simulation. He has built and deployed with his team several python packages for radio astronomy, such as for simulating radio interferometers and for representing diffuse, extended and compact astrophysical radio sources."
Write code to make a calculator,"Construct a simple interactive command-line application that takes numerical inputs and operators (+, -, *, /) as input from the user, parses the expression, performs the corresponding arithmetic operation, and outputs the computed result. Handle potential errors such as division by zero and invalid input gracefully.",llms,0.08290991187095642,6.659801989051833e-232,0.9621039628982544,0.0,"Emmet, a fellow in Astrophysics at Selwyn College, Cambridge. He holds a bachelor's and master's degree in Physics from Imperial College London and a PhD in Astrophysics from the University of Cambridge. Emmet is a radio astronomer whose research investigates the origin and evolution of large-scale cosmic magnetic fields. He has many years of experience through his studies and research using Python, C, Fortran and Matlab for data analysis and simulation. He has built and deployed with his team several python packages for radio astronomy, such as for simulating radio interferometers and for representing diffuse, extended and compact astrophysical radio sources."
Write code to make a calculator,"Implement a basic arithmetic expression evaluator. The code should be capable of taking two numerical operands and a mathematical operator as input and then perform the operation and return the output. For clarity, consider only integer or floating-point numbers as operands. Ensure it can handle basic error conditions.",llms,0.4667067527770996,8.029654430073048e-232,0.9630284905433655,0.0,"Emmet, a fellow in Astrophysics at Selwyn College, Cambridge. He holds a bachelor's and master's degree in Physics from Imperial College London and a PhD in Astrophysics from the University of Cambridge. Emmet is a radio astronomer whose research investigates the origin and evolution of large-scale cosmic magnetic fields. He has many years of experience through his studies and research using Python, C, Fortran and Matlab for data analysis and simulation. He has built and deployed with his team several python packages for radio astronomy, such as for simulating radio interferometers and for representing diffuse, extended and compact astrophysical radio sources."
Write code to make a calculator,"Design and implement a function that accepts a string representation of a simple arithmetic expression (e.g., '2 + 3', '10 / 2') as input, parses the expression, performs the indicated operation, and returns the numerical result. Pay particular attention to handling operator precedence and potential errors, and provide examples to show that the function handles error cases such as division by zero, non-numerical inputs, and poorly formatted expressions gracefully.",llms,0.24499695003032684,7.156422969333831e-232,0.9551376104354858,0.0,"Emmet, a fellow in Astrophysics at Selwyn College, Cambridge. He holds a bachelor's and master's degree in Physics from Imperial College London and a PhD in Astrophysics from the University of Cambridge. Emmet is a radio astronomer whose research investigates the origin and evolution of large-scale cosmic magnetic fields. He has many years of experience through his studies and research using Python, C, Fortran and Matlab for data analysis and simulation. He has built and deployed with his team several python packages for radio astronomy, such as for simulating radio interferometers and for representing diffuse, extended and compact astrophysical radio sources."
Write code to make a calculator,"Create a script that takes as arguments two numerical values and a functional operation to perform on them. Consider how best to implement this script in order to reduce the likelihood of functional failure, such as dividing by zero.",llms,0.5980865955352783,8.510469113101058e-232,0.9675110578536987,0.0,"Emmet, a fellow in Astrophysics at Selwyn College, Cambridge. He holds a bachelor's and master's degree in Physics from Imperial College London and a PhD in Astrophysics from the University of Cambridge. Emmet is a radio astronomer whose research investigates the origin and evolution of large-scale cosmic magnetic fields. He has many years of experience through his studies and research using Python, C, Fortran and Matlab for data analysis and simulation. He has built and deployed with his team several python packages for radio astronomy, such as for simulating radio interferometers and for representing diffuse, extended and compact astrophysical radio sources."
Write code to make a calculator,"Here are five paraphrased versions of the prompt, written with the sensibilities of a social media manager, aiming to elicit the creation of calculator code:",llms,0.28106793761253357,1.1200407237786664e-231,0.9626030325889587,0.0,"Harvey, a social media manager for L'oreal Paris. He is responsible for developing social media strategies that increase brand awareness and customer engagement, building an engaged community of users, launching innovative and buzzworthy campaigns, and analysing performance and engagement metrics. Harvey creates content across multiple platforms including Instagram, TikTok, BlueSky and LinkedIn. He has a BAchelor of Arts from the Royal College of Art and a Foundation degree in Design and Applied Arts from London Metropolitan University. Harvey launched a popular instagram account called Dogs Wearing Crocs in New York which was later published as a book."
Write code to make a calculator,```python,llms,-0.1789463311433792,0.0,0.9662806987762451,0.0,"Harvey, a social media manager for L'oreal Paris. He is responsible for developing social media strategies that increase brand awareness and customer engagement, building an engaged community of users, launching innovative and buzzworthy campaigns, and analysing performance and engagement metrics. Harvey creates content across multiple platforms including Instagram, TikTok, BlueSky and LinkedIn. He has a BAchelor of Arts from the Royal College of Art and a Foundation degree in Design and Applied Arts from London Metropolitan University. Harvey launched a popular instagram account called Dogs Wearing Crocs in New York which was later published as a book."
Write code to make a calculator,"""Craft a code snippet that simulates a basic arithmetic calculator. Focus on user-friendly input and output, almost like designing an intuitive app interface."",",llms,0.2563956081867218,1.0332112772921225e-231,0.9752195477485657,0.0,"Harvey, a social media manager for L'oreal Paris. He is responsible for developing social media strategies that increase brand awareness and customer engagement, building an engaged community of users, launching innovative and buzzworthy campaigns, and analysing performance and engagement metrics. Harvey creates content across multiple platforms including Instagram, TikTok, BlueSky and LinkedIn. He has a BAchelor of Arts from the Royal College of Art and a Foundation degree in Design and Applied Arts from London Metropolitan University. Harvey launched a popular instagram account called Dogs Wearing Crocs in New York which was later published as a book."
Write code to make a calculator,"""Let's build a digital calculator! The code should handle standard mathematical operations (+, -, *, /) and be easily adaptable for more advanced functions later. Think sleek and modern design principles."",",llms,0.13033252954483032,9.363140134330432e-232,0.9692394137382507,0.0,"Harvey, a social media manager for L'oreal Paris. He is responsible for developing social media strategies that increase brand awareness and customer engagement, building an engaged community of users, launching innovative and buzzworthy campaigns, and analysing performance and engagement metrics. Harvey creates content across multiple platforms including Instagram, TikTok, BlueSky and LinkedIn. He has a BAchelor of Arts from the Royal College of Art and a Foundation degree in Design and Applied Arts from London Metropolitan University. Harvey launched a popular instagram account called Dogs Wearing Crocs in New York which was later published as a book."
Write code to make a calculator,"""Develop a functional calculator program. Prioritize clean, well-documented code that's also easily maintainable. Functionality over flourishes, but style points are always appreciated."",",llms,0.02669013850390911,1.016127520387007e-231,0.9645469784736633,0.0,"Harvey, a social media manager for L'oreal Paris. He is responsible for developing social media strategies that increase brand awareness and customer engagement, building an engaged community of users, launching innovative and buzzworthy campaigns, and analysing performance and engagement metrics. Harvey creates content across multiple platforms including Instagram, TikTok, BlueSky and LinkedIn. He has a BAchelor of Arts from the Royal College of Art and a Foundation degree in Design and Applied Arts from London Metropolitan University. Harvey launched a popular instagram account called Dogs Wearing Crocs in New York which was later published as a book."
Write code to make a todo list app,"Develop a Python application for managing a simple todo list, including features for adding, deleting, and marking tasks as complete. Incorporate a persistent data store like a JSON file or a basic SQLite database to save the list between sessions. Include comprehensive unit tests to ensure code quality and functionality.",llms,0.5376012921333313,2.994174019523334e-155,0.9632294774055481,0.0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a todo list app,"Create a command-line interface (CLI) program using Python that allows users to create, read, update, and delete (CRUD) tasks in a todo list. Consider implementing features such as priority levels and due dates for tasks. Include error handling for invalid user input and robust unit tests.",llms,0.40129002928733826,1.0171206825391854e-78,0.962881326675415,0.0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a todo list app,"Build a basic web application, perhaps using Flask or a similar microframework in Python, to provide a user interface for managing a todo list. Tasks should be stored in memory or persisted using a simple data store. Include basic styling and a suite of unit tests to verify the core functionalities.",llms,0.5586645007133484,1.0171206825391854e-78,0.9658275842666626,0.0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a todo list app,"Design and implement a Python-based todo list application with the ability to categorize tasks, set reminders, and generate reports. Explore using AWS services, such as S3 for storage and Lambda for background processing (optional), if appropriate. Implement thorough unit tests and follow best practices for code organization and maintainability.",llms,0.46133556962013245,2.9416364921081275e-155,0.9655742645263672,0.0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a todo list app,"Construct a modular Python application for managing a todo list, emphasizing separation of concerns. The application should support adding, deleting, updating, and listing tasks, with options for filtering tasks by status (e.g., completed, pending). Implement a comprehensive unit testing strategy to ensure each component functions correctly.",llms,0.35264065861701965,9.902295575797205e-79,0.9596035480499268,0.0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a todo list app,"Implement a user-friendly todo list application with features to add, delete, and mark tasks as complete, including persistent storage and a clean, intuitive interface.",llms,0.3215152323246002,3.951829566952597e-155,0.9691318869590759,0.0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a todo list app,"Develop a RESTful API backend and accompanying client application (web or native) for managing a todo list. The API should support CRUD operations on tasks, and the client should provide a user-friendly interface to interact with the API.",llms,0.6215901374816895,1.245183060581128e-78,0.9646745324134827,0.0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a todo list app,"Design and implement a robust and scalable todo list service, with considerations for data consistency, fault tolerance, and user authentication. The service should expose endpoints for creating, retrieving, updating, and deleting tasks.",llms,0.2443142533302307,3.1237148326586e-155,0.9639821648597717,0.0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a todo list app,"Create a complete todo list application, encompassing a data model for tasks, a persistence layer (e.g., database or file storage), a business logic layer for task management, and a presentation layer (e.g., command-line interface or web interface) for user interaction.",llms,0.3398415744304657,2.7625966718707245e-155,0.9582636952400208,0.0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a todo list app,"Build a multi-tiered todo list application. The application should consist of a database layer, a service layer providing the core todo list functionality, and a client-side application allowing users to interact with the service. Implement user authentication and authorisation.",llms,0.6114781498908997,3.198577887346691e-155,0.96518474817276,0.0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a todo list app,"Could you create the instructions for a computer program that manages a 'to-do' list? It should allow users to add tasks, mark tasks as complete, and ideally let them view their outstanding tasks.",llms,0.597474992275238,9.65701126654974e-232,0.9610861539840698,0.0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a todo list app,"I'd like a set of instructions for a computer, like a recipe, that creates a digital 'to-do' list. The user should be able to input things they need to do, tick them off when finished, and perhaps sort them by priority or due date.",llms,0.4544846713542938,8.928691163795855e-232,0.9535679817199707,0.0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a todo list app,"Imagine we're writing a set of very specific instructions for a computer. These instructions should result in a simple application where someone can create and manage a list of tasks they need to complete. Include the ability to add, remove, and check off items.",llms,0.4744415581226349,9.01666918778251e-232,0.9576709866523743,0.0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a todo list app,I need instructions a computer can understand to build a 'to-do' list application. It should allow the user to input a list of tasks and then mark them as 'done' when they are complete. A way to view the list is important too.,llms,0.5921691060066223,9.109159947227211e-232,0.9630280137062073,0.0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a todo list app,"Create the digital steps for an interactive program. The program should function as a dynamic 'to-do' list, where the user can easily add new items to their list, indicate when they have completed each item, and see all items currently needing completion. Maybe there could also be an option to save the list for later.",llms,0.5404758453369141,8.54457989334043e-232,0.9568033814430237,0.0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a todo list app,"I need a program that can store and manage a list of tasks. The user should be able to add new tasks, mark tasks as complete, and view the current list. Prioritize a clear and user-friendly interface, even if it's just command-line based.",llms,0.42724356055259705,9.01666918778251e-232,0.9548246264457703,0.0,"Emmet, a fellow in Astrophysics at Selwyn College, Cambridge. He holds a bachelor's and master's degree in Physics from Imperial College London and a PhD in Astrophysics from the University of Cambridge. Emmet is a radio astronomer whose research investigates the origin and evolution of large-scale cosmic magnetic fields. He has many years of experience through his studies and research using Python, C, Fortran and Matlab for data analysis and simulation. He has built and deployed with his team several python packages for radio astronomy, such as for simulating radio interferometers and for representing diffuse, extended and compact astrophysical radio sources."
Write code to make a todo list app,"Could you develop an application to track and organize a set of user-defined items? Functionality should include adding items with associated descriptions, marking items as done or undone, and displaying the list in a navigable format. Consider persistence of the task list between sessions.",llms,0.4550929367542267,9.062324668412783e-232,0.9561105966567993,0.0,"Emmet, a fellow in Astrophysics at Selwyn College, Cambridge. He holds a bachelor's and master's degree in Physics from Imperial College London and a PhD in Astrophysics from the University of Cambridge. Emmet is a radio astronomer whose research investigates the origin and evolution of large-scale cosmic magnetic fields. He has many years of experience through his studies and research using Python, C, Fortran and Matlab for data analysis and simulation. He has built and deployed with his team several python packages for radio astronomy, such as for simulating radio interferometers and for representing diffuse, extended and compact astrophysical radio sources."
Write code to make a todo list app,"Create a software utility to maintain a dynamic list of user-defined tasks. The system must allow for the addition of new tasks, modification of task status (e.g., 'pending', 'completed'), and retrieval of the entire task list or filtered subsets thereof. Include error handling for invalid user input.",llms,0.36937597393989563,8.688236592747187e-232,0.9576549530029297,0.0,"Emmet, a fellow in Astrophysics at Selwyn College, Cambridge. He holds a bachelor's and master's degree in Physics from Imperial College London and a PhD in Astrophysics from the University of Cambridge. Emmet is a radio astronomer whose research investigates the origin and evolution of large-scale cosmic magnetic fields. He has many years of experience through his studies and research using Python, C, Fortran and Matlab for data analysis and simulation. He has built and deployed with his team several python packages for radio astronomy, such as for simulating radio interferometers and for representing diffuse, extended and compact astrophysical radio sources."
Write code to make a todo list app,"I require a program that allows the user to create, update, and view a list of tasks. The application should be able to store tasks along with associated metadata such as creation date, due date, or priority. The list should be sortable and filterable by these metadata fields.",llms,0.38056108355522156,8.804363503668162e-232,0.9563045501708984,0.0,"Emmet, a fellow in Astrophysics at Selwyn College, Cambridge. He holds a bachelor's and master's degree in Physics from Imperial College London and a PhD in Astrophysics from the University of Cambridge. Emmet is a radio astronomer whose research investigates the origin and evolution of large-scale cosmic magnetic fields. He has many years of experience through his studies and research using Python, C, Fortran and Matlab for data analysis and simulation. He has built and deployed with his team several python packages for radio astronomy, such as for simulating radio interferometers and for representing diffuse, extended and compact astrophysical radio sources."
Write code to make a todo list app,"Develop a system for managing a set of items, each representing a task. The system should provide functionalities for creating new task entries, modifying existing entries (e.g., changing status, editing descriptions), deleting entries, and displaying a formatted view of all tasks or a filtered selection based on certain criteria, like due date or completion status. Consider including a basic search functionality.",llms,0.2818545997142792,6.232719878487911e-232,0.9523251056671143,0.0,"Emmet, a fellow in Astrophysics at Selwyn College, Cambridge. He holds a bachelor's and master's degree in Physics from Imperial College London and a PhD in Astrophysics from the University of Cambridge. Emmet is a radio astronomer whose research investigates the origin and evolution of large-scale cosmic magnetic fields. He has many years of experience through his studies and research using Python, C, Fortran and Matlab for data analysis and simulation. He has built and deployed with his team several python packages for radio astronomy, such as for simulating radio interferometers and for representing diffuse, extended and compact astrophysical radio sources."
Write code to make a todo list app,"Here are five paraphrased versions of the prompt, tailored with a digital-first marketing sensibility and a focus on creating engaging experiences:",llms,0.2210945039987564,8.319100378795605e-232,0.9505593180656433,0.0,"Harvey, a social media manager for L'oreal Paris. He is responsible for developing social media strategies that increase brand awareness and customer engagement, building an engaged community of users, launching innovative and buzzworthy campaigns, and analysing performance and engagement metrics. Harvey creates content across multiple platforms including Instagram, TikTok, BlueSky and LinkedIn. He has a BAchelor of Arts from the Royal College of Art and a Foundation degree in Design and Applied Arts from London Metropolitan University. Harvey launched a popular instagram account called Dogs Wearing Crocs in New York which was later published as a book."
Write code to make a todo list app,```python,llms,-0.08351387828588486,0.0,0.9594329595565796,0.0,"Harvey, a social media manager for L'oreal Paris. He is responsible for developing social media strategies that increase brand awareness and customer engagement, building an engaged community of users, launching innovative and buzzworthy campaigns, and analysing performance and engagement metrics. Harvey creates content across multiple platforms including Instagram, TikTok, BlueSky and LinkedIn. He has a BAchelor of Arts from the Royal College of Art and a Foundation degree in Design and Applied Arts from London Metropolitan University. Harvey launched a popular instagram account called Dogs Wearing Crocs in New York which was later published as a book."
Write code to make a todo list app,"""Craft the underlying code for a dynamic and visually appealing to-do list application, suitable for integration into a mobile-first digital experience. Think user-friendly interface and intuitive task management."",",llms,0.36263513565063477,9.929306298309508e-232,0.9687654376029968,0.0,"Harvey, a social media manager for L'oreal Paris. He is responsible for developing social media strategies that increase brand awareness and customer engagement, building an engaged community of users, launching innovative and buzzworthy campaigns, and analysing performance and engagement metrics. Harvey creates content across multiple platforms including Instagram, TikTok, BlueSky and LinkedIn. He has a BAchelor of Arts from the Royal College of Art and a Foundation degree in Design and Applied Arts from London Metropolitan University. Harvey launched a popular instagram account called Dogs Wearing Crocs in New York which was later published as a book."
Write code to make a todo list app,"""Develop the code foundation for a sleek, cross-platform task management tool. Prioritize simplicity and scalability, with a focus on creating a seamless user flow reminiscent of today's top productivity apps. Include options for categorising and prioritising tasks."",",llms,0.46427690982818604,8.319100378795605e-232,0.9575187563896179,0.0,"Harvey, a social media manager for L'oreal Paris. He is responsible for developing social media strategies that increase brand awareness and customer engagement, building an engaged community of users, launching innovative and buzzworthy campaigns, and analysing performance and engagement metrics. Harvey creates content across multiple platforms including Instagram, TikTok, BlueSky and LinkedIn. He has a BAchelor of Arts from the Royal College of Art and a Foundation degree in Design and Applied Arts from London Metropolitan University. Harvey launched a popular instagram account called Dogs Wearing Crocs in New York which was later published as a book."
Write code to make a todo list app,"""Write the code to build a minimal viable product (MVP) for a to-do list app. The goal is a lightweight, highly performant application that can be quickly iterated upon based on user feedback. Essential features only."",",llms,0.44758275151252747,4.161991890344397e-155,0.9659931659698486,0.0,"Harvey, a social media manager for L'oreal Paris. He is responsible for developing social media strategies that increase brand awareness and customer engagement, building an engaged community of users, launching innovative and buzzworthy campaigns, and analysing performance and engagement metrics. Harvey creates content across multiple platforms including Instagram, TikTok, BlueSky and LinkedIn. He has a BAchelor of Arts from the Royal College of Art and a Foundation degree in Design and Applied Arts from London Metropolitan University. Harvey launched a popular instagram account called Dogs Wearing Crocs in New York which was later published as a book."
