phrase,model,temperature,repetition_penalty,top_p,success,error,avg_bleu,avg_rougel,avg_semantic_similarity,diversity_between_paraphrases
"Given the business logic code below, implement Flask backend. Do not include example of usage or the business logic, do not repeat any code from this prompt. Only write the Flask API code.",t5-base,0.0,1.5,0.95,False,"`temperature` (=0.0) has to be a strictly positive float, otherwise your next token scores will be invalid. If you're looking for greedy decoding strategies, set `do_sample=False`.",,,,
"Given the business logic code below, implement Flask backend. Do not include example of usage or the business logic, do not repeat any code from this prompt. Only write the Flask API code.",t5-base,0.5,1.5,0.95,True,,0.369878480882877,0.5519666397632499,0.8526593923568726,0.8753762665062175
"Given the business logic code below, implement Flask backend. Do not include example of usage or the business logic, do not repeat any code from this prompt. Only write the Flask API code.",t5-base,1.0,1.5,0.95,True,,0.3020252080491349,0.45222734254992325,0.7832615613937378,0.8936166355891546
"Given the business logic code below, implement Flask backend. Do not include example of usage or the business logic, do not repeat any code from this prompt. Only write the Flask API code.",tuner007/pegasus_paraphrase,0.0,1.5,0.95,False,"`temperature` (=0.0) has to be a strictly positive float, otherwise your next token scores will be invalid. If you're looking for greedy decoding strategies, set `do_sample=False`.",,,,
"Given the business logic code below, implement Flask backend. Do not include example of usage or the business logic, do not repeat any code from this prompt. Only write the Flask API code.",tuner007/pegasus_paraphrase,0.5,1.5,0.95,True,,0.6641944200323066,0.7079894644424934,0.8701260328292847,0.9209789010847917
"Given the business logic code below, implement Flask backend. Do not include example of usage or the business logic, do not repeat any code from this prompt. Only write the Flask API code.",tuner007/pegasus_paraphrase,1.0,1.5,0.95,True,,0.2828187762735291,0.42623247399366804,0.8363473296165467,0.9336788399838489
"Write a Calculator class. It shall contain common operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry.",Vamsi/T5_Paraphrase_Paws,0.0,1.5,0.95,False,"`temperature` (=0.0) has to be a strictly positive float, otherwise your next token scores will be invalid. If you're looking for greedy decoding strategies, set `do_sample=False`.",,,,
"Write a Calculator class. It shall contain common operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry.",Vamsi/T5_Paraphrase_Paws,0.5,1.5,0.95,True,,0.775452240242633,0.9399021663172606,0.946485161781311,0.8923318387343537
"Write a Calculator class. It shall contain common operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry.",Vamsi/T5_Paraphrase_Paws,1.0,1.5,0.95,True,,0.7872862398390953,0.9433962264150944,0.9580031037330627,0.9695789794874283
"Write a Calculator class. It shall contain common operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry.",facebook/bart-base,0.0,1.5,0.95,False,"`temperature` (=0.0) has to be a strictly positive float, otherwise your next token scores will be invalid. If you're looking for greedy decoding strategies, set `do_sample=False`.",,,,
"Write a Calculator class. It shall contain common operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry.",facebook/bart-base,0.5,1.5,0.95,True,,0.861686944245083,0.9715399610136453,0.9763739228248596,0.8621117397274384
"Write a Calculator class. It shall contain common operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry.",facebook/bart-base,1.0,1.5,0.95,True,,0.861686944245083,0.9715399610136453,0.9763739228248596,0.8621117397274384
"Write a Calculator class. It shall contain common operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry.",t5-base,0.0,1.5,0.95,False,"`temperature` (=0.0) has to be a strictly positive float, otherwise your next token scores will be invalid. If you're looking for greedy decoding strategies, set `do_sample=False`.",,,,
"Write a Calculator class. It shall contain common operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry.",t5-base,0.5,1.5,0.95,True,,0.5933529266858188,0.6491321964199323,0.9063862681388855,0.7492745191901188
"Write a Calculator class. It shall contain common operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry.",t5-base,1.0,1.5,0.95,True,,0.7259088078699729,0.7417046193884189,0.9187936425209046,0.8582453337953322
"Write a Calculator class. It shall contain common operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry.",tuner007/pegasus_paraphrase,0.0,1.5,0.95,False,"`temperature` (=0.0) has to be a strictly positive float, otherwise your next token scores will be invalid. If you're looking for greedy decoding strategies, set `do_sample=False`.",,,,
"Write a Calculator class. It shall contain common operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry.",tuner007/pegasus_paraphrase,0.5,1.5,0.95,True,,0.4933395083722548,0.6307992202729045,0.8624200582504272,0.8434635203849326
"Write a Calculator class. It shall contain common operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry.",tuner007/pegasus_paraphrase,1.0,1.5,0.95,True,,0.37468602505725207,0.5075531433740389,0.8241113662719727,0.9071315153458859
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",gemini,0.0,,,True,,0.38409396175425786,0.4365205382852442,0.8468181014060974,0.3875790103961513
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",gemini,0.5,,,True,,0.3868487035829521,0.4277155455483629,0.8526932835578919,0.3936565392697709
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",gemini,1.0,,,True,,0.3965018835515731,0.43678258145363413,0.8502192020416259,0.4094877883544057
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",gemini,1.5,,,True,,0.42284931049258356,0.4625274571005121,0.8490143656730652,0.4456279055990832
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",gemini,2.0,,,True,,0.31798133589960803,0.39862006315953685,0.8291192471981048,0.2965001443180558
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",llama,0.0,,,True,,0.21844506508306516,0.3451846913389738,0.8143548130989074,0.3145685082051587
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",llama,0.5,,,True,,0.22833798270995942,0.37725371188039486,0.8344008982181549,0.33891550587545255
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",llama,1.0,,,True,,0.3166775571510706,0.43181015602068246,0.8363269448280335,0.353961864315049
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",llama,1.5,,,True,,0.2964757106981764,0.42158836381557824,0.8225634455680847,0.3567990909649756
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",llama,2.0,-1.0,-1.0,False,No paraphrases generated,,,,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",deepseek,0.0,,,True,,0.30466600728195725,0.39757819794584504,0.845044082403183,0.3009863516520347
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",deepseek,0.5,,,True,,0.26341394265570617,0.3793990323402088,0.8722343742847443,0.4269490473368983
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",deepseek,1.0,-1.0,-1.0,False,No paraphrases generated,,,,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",deepseek,1.5,-1.0,-1.0,False,No paraphrases generated,,,,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",deepseek,2.0,-1.0,-1.0,False,No paraphrases generated,,,,
"Given the business logic code below, implement Flask backend. Do not include example of usage or the business logic, do not repeat any code from this prompt. Only write the Flask API code.",gemini,0.0,,,True,,0.13238928796178573,0.3570103842142017,0.7345690667629242,0.09016013306799546
"Given the business logic code below, implement Flask backend. Do not include example of usage or the business logic, do not repeat any code from this prompt. Only write the Flask API code.",gemini,0.5,,,True,,0.17138735506986907,0.3793826350089051,0.7666550517082215,0.06478605085511188
"Given the business logic code below, implement Flask backend. Do not include example of usage or the business logic, do not repeat any code from this prompt. Only write the Flask API code.",gemini,1.0,,,True,,0.06889830254651662,0.3163796491395413,0.7341655015945434,0.03193508034806341
"Given the business logic code below, implement Flask backend. Do not include example of usage or the business logic, do not repeat any code from this prompt. Only write the Flask API code.",gemini,1.5,,,True,,0.05143383199142272,0.35289593984881756,0.7417560160160065,0.025374596106048752
"Given the business logic code below, implement Flask backend. Do not include example of usage or the business logic, do not repeat any code from this prompt. Only write the Flask API code.",gemini,2.0,,,True,,0.17638997804456497,0.4793478214049272,0.7758801519870758,0.10853504942801045
"Given the business logic code below, implement Flask backend. Do not include example of usage or the business logic, do not repeat any code from this prompt. Only write the Flask API code.",llama,0.0,,,True,,0.138965959162557,0.44278334282498744,0.7109911382198334,0.21845268629321357
"Given the business logic code below, implement Flask backend. Do not include example of usage or the business logic, do not repeat any code from this prompt. Only write the Flask API code.",llama,0.5,,,True,,0.017301625789692306,0.3013927496937523,0.621935510635376,0.09470538777835852
"Given the business logic code below, implement Flask backend. Do not include example of usage or the business logic, do not repeat any code from this prompt. Only write the Flask API code.",llama,1.0,,,True,,0.09745512424117712,0.40695341918744976,0.7216251134872437,0.17266365554490612
"Given the business logic code below, implement Flask backend. Do not include example of usage or the business logic, do not repeat any code from this prompt. Only write the Flask API code.",llama,1.5,,,True,,0.1251485730050807,0.42690449782192974,0.7002636730670929,0.23597703653059907
"Given the business logic code below, implement Flask backend. Do not include example of usage or the business logic, do not repeat any code from this prompt. Only write the Flask API code.",llama,2.0,-1.0,-1.0,False,No paraphrases generated,,,,
"Given the business logic code below, implement Flask backend. Do not include example of usage or the business logic, do not repeat any code from this prompt. Only write the Flask API code.",deepseek,0.0,-1.0,-1.0,False,No paraphrases generated,,,,
"Given the business logic code below, implement Flask backend. Do not include example of usage or the business logic, do not repeat any code from this prompt. Only write the Flask API code.",deepseek,0.5,-1.0,-1.0,False,No paraphrases generated,,,,
"Given the business logic code below, implement Flask backend. Do not include example of usage or the business logic, do not repeat any code from this prompt. Only write the Flask API code.",deepseek,1.0,-1.0,-1.0,False,No paraphrases generated,,,,
"Given the business logic code below, implement Flask backend. Do not include example of usage or the business logic, do not repeat any code from this prompt. Only write the Flask API code.",deepseek,1.5,,,True,,0.03810459957991472,0.37444426255709284,0.6563720941543579,0.03046206018138322
"Given the business logic code below, implement Flask backend. Do not include example of usage or the business logic, do not repeat any code from this prompt. Only write the Flask API code.",deepseek,2.0,-1.0,-1.0,False,No paraphrases generated,,,,
"Write a Calculator class. It shall contain common operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry.",gemini,0.0,,,True,,0.02065050130197251,0.42481509456353994,0.7812206745147705,0.21315342517207808
"Write a Calculator class. It shall contain common operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry.",gemini,0.5,,,True,,0.04626424046337936,0.4344496322279935,0.7759892165660858,0.1587839520836697
"Write a Calculator class. It shall contain common operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry.",gemini,1.0,,,True,,0.02318197616446927,0.41785837096457285,0.7778623938560486,0.16213348504855704
"Write a Calculator class. It shall contain common operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry.",gemini,1.5,,,True,,0.021552370436782042,0.39589021056410056,0.7612094759941102,0.1517689705391997
"Write a Calculator class. It shall contain common operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry.",gemini,2.0,,,True,,0.030214523196531916,0.39716729427419384,0.7774019122123719,0.1737992368721594
"Write a Calculator class. It shall contain common operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry.",llama,0.0,,,True,,0.030431088626688974,0.4598819170538495,0.7935227632522583,0.3059239065679262
"Write a Calculator class. It shall contain common operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry.",llama,0.5,,,True,,0.06193057870330006,0.4282068407358327,0.796836394071579,0.22956069977840465
"Write a Calculator class. It shall contain common operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry.",llama,1.0,,,True,,0.06464583129732467,0.4400802189517622,0.8002029657363892,0.2691016577050937
"Write a Calculator class. It shall contain common operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry.",llama,1.5,,,True,,0.013469438256331309,0.3700829289212557,0.760814118385315,0.15974568873977277
"Write a Calculator class. It shall contain common operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry.",llama,2.0,-1.0,-1.0,False,No paraphrases generated,,,,
"Write a Calculator class. It shall contain common operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry.",deepseek,0.0,-1.0,-1.0,False,No paraphrases generated,,,,
"Write a Calculator class. It shall contain common operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry.",deepseek,0.5,,,True,,2.360196296293892e-78,0.4259725660946526,0.7696714758872986,0.1121069218565664
"Write a Calculator class. It shall contain common operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry.",deepseek,1.0,-1.0,-1.0,False,No paraphrases generated,,,,
"Write a Calculator class. It shall contain common operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry.",deepseek,1.5,-1.0,-1.0,False,No paraphrases generated,,,,
"Write a Calculator class. It shall contain common operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry.",deepseek,2.0,-1.0,-1.0,False,No paraphrases generated,,,,
