phrase,model,temperature,repetition_penalty,top_p,avg_bleu,avg_rougel,avg_semantic_similarity,diversity_between_paraphrases,success,error
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.25,4.0,0.85,0.7111714120937047,0.9542857142857143,0.9484893321990967,0.8275680109658176,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.25,4.0,0.95,0.7111714120937047,0.9542857142857143,0.9484893321990967,0.8275680109658176,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.5,1.0,0.75,0.7163236241018963,0.9371428571428572,0.9551704168319702,0.9186612565577168,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.5,1.0,0.85,0.7163236241018963,0.9371428571428572,0.9551704168319702,0.9186612565577168,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.5,1.0,0.95,0.6985576205686201,0.9371428571428572,0.949352478981018,0.8806498638001434,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.5,2.0,0.75,0.7111183044879537,0.9485714285714286,0.9500634670257568,0.8800603465406478,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.5,2.0,0.85,0.7111183044879537,0.9485714285714286,0.9500634670257568,0.8800603465406478,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.5,2.0,0.95,0.6933589503680204,0.9380694980694981,0.9357919096946716,0.8262333232622943,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.5,3.0,0.75,0.7111714120937047,0.9542857142857143,0.9484893321990967,0.8274124479814823,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.5,3.0,0.85,0.7111714120937047,0.9542857142857143,0.9484893321990967,0.8274124479814823,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.5,3.0,0.95,0.6881602801674207,0.9389961389961391,0.9222313404083252,0.8281666384723654,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.5,4.0,0.75,0.7111714120937047,0.9542857142857143,0.9484893321990967,0.8275680109658176,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.5,4.0,0.85,0.7111714120937047,0.9542857142857143,0.9484893321990967,0.8275680109658176,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.5,4.0,0.95,0.6578404157540779,0.9176833976833976,0.9060618042945862,0.8169574334547013,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.75,1.0,0.75,0.7163236241018963,0.9371428571428572,0.9551704168319702,0.9186612565577168,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.75,1.0,0.85,0.6985576205686201,0.9371428571428572,0.949352478981018,0.8806498638001434,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.75,1.0,0.95,0.6985576205686201,0.9371428571428572,0.949352478981018,0.8806498638001434,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.75,2.0,0.75,0.7111183044879537,0.9485714285714286,0.9500634670257568,0.8800603465406478,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.75,2.0,0.85,0.7111183044879537,0.9485714285714286,0.9500634670257568,0.8800603465406478,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.75,2.0,0.95,0.6933589503680204,0.9380694980694981,0.9357919096946716,0.8262333232622943,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.75,3.0,0.75,0.7111183044879537,0.9485714285714286,0.9500634670257568,0.8798376919919313,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.75,3.0,0.85,0.6881602801674207,0.9389961389961391,0.9222313404083252,0.8281666384723654,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.75,3.0,0.95,0.6881602801674207,0.9389961389961391,0.9222313404083252,0.8281666384723654,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.75,4.0,0.75,0.7111714120937047,0.9542857142857143,0.9484893321990967,0.8275680109658176,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.75,4.0,0.85,0.6578404157540779,0.9176833976833976,0.9060618042945862,0.8169574334547013,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.75,4.0,0.95,0.6578404157540779,0.9176833976833976,0.9060618042945862,0.8169574334547013,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,1.0,1.0,0.75,0.6985576205686201,0.9371428571428572,0.949352478981018,0.8806498638001434,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,1.0,1.0,0.85,0.6985576205686201,0.9371428571428572,0.949352478981018,0.8806498638001434,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,1.0,1.0,0.95,0.6985576205686201,0.9371428571428572,0.949352478981018,0.8806498638001434,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,1.0,2.0,0.75,0.7111183044879537,0.9485714285714286,0.9500634670257568,0.8800603465406478,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,1.0,2.0,0.85,0.6933589503680204,0.9380694980694981,0.9357919096946716,0.8262333232622943,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,1.0,2.0,0.95,0.6933589503680204,0.9380694980694981,0.9357919096946716,0.8262333232622943,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,1.0,3.0,0.75,0.7111183044879537,0.9485714285714286,0.9500634670257568,0.8798376919919313,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,1.0,3.0,0.85,0.6881602801674207,0.9389961389961391,0.9222313404083252,0.8281666384723654,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,1.0,3.0,0.95,0.6881602801674207,0.9389961389961391,0.9222313404083252,0.8281666384723654,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,1.0,4.0,0.75,0.6578404157540779,0.9176833976833976,0.9060618042945862,0.8169574334547013,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,1.0,4.0,0.85,0.6578404157540779,0.9176833976833976,0.9060618042945862,0.8169574334547013,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,1.0,4.0,0.95,0.6578404157540779,0.9176833976833976,0.9060618042945862,0.8169574334547013,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.25,1.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.25,1.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.25,1.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.25,2.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.25,2.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.25,2.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.25,3.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.25,3.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.25,3.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.25,4.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.25,4.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.25,4.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.5,1.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.5,1.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.5,1.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.5,2.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.5,2.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.5,2.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.5,3.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.5,3.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.5,3.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.5,4.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.5,4.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.5,4.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.75,1.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.75,1.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.75,1.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.75,2.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.75,2.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.75,2.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.75,3.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.75,3.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.75,3.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.75,4.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.75,4.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.75,4.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,1.0,1.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,1.0,1.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,1.0,1.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,1.0,2.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,1.0,2.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,1.0,2.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,1.0,3.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,1.0,3.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,1.0,3.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,1.0,4.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,1.0,4.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,1.0,4.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.25,1.0,0.75,0.5508435671499627,0.6557258713917069,0.8999287009239196,0.7628814297654142,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.25,1.0,0.85,0.6130470526540734,0.7112077683830378,0.9115271210670471,0.8063721219063851,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.25,1.0,0.95,0.5753681388073628,0.6607573179325874,0.9125921130180359,0.8792636698181171,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.25,2.0,0.75,0.6051291828264157,0.7708249199134949,0.8835424661636353,0.6813205045213077,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.25,2.0,0.85,0.5635727695836386,0.7474065598779559,0.8452372074127197,0.7680084860199591,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.25,2.0,0.95,0.4268849205638374,0.5373720791403718,0.8855875968933106,0.5962196386495948,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.25,3.0,0.75,0.4783087432191742,0.6704835258878903,0.8718735694885253,0.5908134286208099,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.25,3.0,0.85,0.5695865677448233,0.7473447005637105,0.8521403431892395,0.6992406005219448,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.25,3.0,0.95,0.2854624553905383,0.47608718766613495,0.8437960505485534,0.8638055453803805,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.25,4.0,0.75,0.5540295370307632,0.7393533051860663,0.855813729763031,0.6255341201846017,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.25,4.0,0.85,0.5695865677448233,0.7473447005637104,0.8506399869918824,0.6756928114480103,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.25,4.0,0.95,0.317198835883256,0.5150285690796235,0.8706640720367431,0.883852309632964,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.5,1.0,0.75,0.5491271359506955,0.6481787015803862,0.8920855522155762,0.7492045649441162,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.5,1.0,0.85,0.5491271359506955,0.6481787015803862,0.8920855522155762,0.7492045649441162,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.5,1.0,0.95,0.5646007862795962,0.6518684290436985,0.9080408453941345,0.8543888703868834,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.5,2.0,0.75,0.5755503397432636,0.7309560723514211,0.8760153889656067,0.8393929770106819,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.5,2.0,0.85,0.5755503397432636,0.7309560723514211,0.8760153889656067,0.8393929770106819,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.5,2.0,0.95,0.5669587413439157,0.7243410852713177,0.8750797629356384,0.8606237089054268,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.5,3.0,0.75,0.5755503397432636,0.7309560723514211,0.8744588136672974,0.8418950055794013,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.5,3.0,0.85,0.3302827399241689,0.52091723561778,0.8841673493385315,0.8845344983256604,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.5,3.0,0.95,0.29296217494400534,0.4778295778295778,0.881452989578247,0.8566725725502401,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.5,4.0,0.75,0.25492176372092346,0.41140873015873014,0.8515631079673767,0.9151796584242164,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.5,4.0,0.85,0.3227722269661189,0.5224318658280922,0.8697299838066102,0.9095645885168313,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.5,4.0,0.95,0.2775287943559677,0.4531534839173118,0.8651816725730896,0.8603335839894204,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.75,1.0,0.75,0.5753681388073628,0.6607573179325874,0.9125921130180359,0.8792636698181171,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.75,1.0,0.85,0.45864975673132047,0.5919163273108909,0.885457980632782,0.5926609500203746,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.75,1.0,0.95,0.5436514422929535,0.6309800864732701,0.8832421064376831,0.7389925712293955,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.75,2.0,0.75,0.5755503397432636,0.7309560723514211,0.8760153889656067,0.8393929770106819,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.75,2.0,0.85,0.5649202716153304,0.7212492978317042,0.8733116626739502,0.8389638387343947,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.75,2.0,0.95,0.4095305298139781,0.5937921727395411,0.8395269989967347,0.7091164850043578,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.75,3.0,0.75,0.31313742301184266,0.5055856813751551,0.8866789937019348,0.9354502092363124,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.75,3.0,0.85,0.31460020879927164,0.5148859665840798,0.8724013924598694,0.9085005068223116,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.75,3.0,0.95,0.24776840405463912,0.41299385425812113,0.8701341032981873,0.9146672425432001,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.75,4.0,0.75,0.3013376136908981,0.4916083916083916,0.8759966850280761,0.8895171443573634,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.75,4.0,0.85,0.27058506401552807,0.42129264983287545,0.8449456572532654,0.7607176052788618,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.75,4.0,0.95,0.2245840409199007,0.3416346153846154,0.8146171569824219,0.9154198381518122,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,1.0,1.0,0.75,0.3040792170512011,0.4532796780684104,0.7946461796760559,0.9491696929780378,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,1.0,1.0,0.85,0.5782624798647724,0.6723319721885002,0.8957563757896423,0.7447826758894658,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,1.0,1.0,0.95,0.3651258862034741,0.501945773524721,0.886387574672699,0.9081159691618186,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,1.0,2.0,0.75,0.529368822292895,0.6905934393202822,0.8449745297431945,0.7628694418340093,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,1.0,2.0,0.85,0.3063575015729259,0.49696969696969695,0.8749015092849731,0.9257877537458808,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,1.0,2.0,0.95,0.36201451461666323,0.4977564102564102,0.848157525062561,0.6405775728028532,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,1.0,3.0,0.75,0.2532906597105871,0.394424647052225,0.8277941346168518,0.912311289203851,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,1.0,3.0,0.85,0.29057031986811427,0.4284744332269508,0.8355565428733825,0.7905467344038153,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,1.0,3.0,0.95,0.30300824112139946,0.5016873449131513,0.884911835193634,0.9491136967999421,True,
